cutsheet_url,pid,listing_id,class_id,ldate,sdate,expdate,dom,lprice,sprice,stid
https://www.viewpoint.ca/cutsheet/202602981/1/9-Terrace-Avenue-Stellarton,00987941,4999760,1,2014-05-20,,2014-11-20,184,159500,,1
https://www.viewpoint.ca/cutsheet/202602981/1/9-Terrace-Avenue-Stellarton,00987941,4892155,1,2013-10-09,,2014-01-31,114,163000,,1
https://www.viewpoint.ca/cutsheet/202508913/1/7-Twin-River-Trailer-Park-Court-Stellarton,01003698,202508913,1,2025-04-25,,2025-04-25,348,174000,,5
https://www.viewpoint.ca/cutsheet/202513574/1/20-Victoria-Avenue-Stellarton,00942862,202513574,1,2025-06-05,,2025-06-05,307,249000,,5
https://www.viewpoint.ca/cutsheet/202605486/1/55-View-Street-New-Glasgow,01006790,202605486,1,2026-03-26,,2026-03-26,13,295000,,5
https://www.viewpoint.ca/cutsheet/202605486/1/55-View-Street-New-Glasgow,01006790,5011556,1,2014-06-02,,2014-12-31,212,69900,,1
https://www.viewpoint.ca/cutsheet/202605486/1/55-View-Street-New-Glasgow,01006790,4802259,1,2013-05-13,,2013-11-15,186,87900,,1
https://www.viewpoint.ca/cutsheet/202605486/1/55-View-Street-New-Glasgow,01006790,3065896,1,2007-08-07,2007-09-21,2007-11-30,45,75000,65000,2
https://www.viewpoint.ca/cutsheet/202603929/1/84-Warren-Street-New-Glasgow,01009208,202603929,1,2026-03-04,,2026-03-16,35,135000,0,6
https://www.viewpoint.ca/cutsheet/202517379/1/25-1-Weir-Ave-Stellarton,65243313,202517379,1,2025-07-11,,2025-07-11,271,409750,,5
https://www.viewpoint.ca/cutsheet/202517379/1/25-1-Weir-Ave-Stellarton,65243313,202516076,5,2025-06-29,,2025-06-29,283,42000,,5
https://www.viewpoint.ca/cutsheet/202605566/1/473-Willow-Avenue-New-Glasgow,65174278,202605566,1,2026-03-25,,2026-04-03,14,299000,0,6
https://www.viewpoint.ca/cutsheet/202605566/1/473-Willow-Avenue-New-Glasgow,65174278,202605600,5,2026-03-25,,2026-04-03,14,299000,0,6
https://www.viewpoint.ca/cutsheet/202605566/1/473-Willow-Avenue-New-Glasgow,65174278,202520460,1,2025-08-11,,2025-12-31,142,299900,,1
https://www.viewpoint.ca/cutsheet/202605566/1/473-Willow-Avenue-New-Glasgow,65174278,202513181,5,2025-06-01,,2025-12-31,213,299900,,1
https://www.viewpoint.ca/cutsheet/202604955/1/216-Brookside-Avenue-New-Glasgow,00945998,202604955,1,2026-03-18,,2026-03-19,21,329900,,5
https://www.viewpoint.ca/cutsheet/202604955/1/216-Brookside-Avenue-New-Glasgow,00945998,202505537,1,2025-03-20,,2025-10-23,217,334900,,3
https://www.viewpoint.ca/cutsheet/202604955/1/216-Brookside-Avenue-New-Glasgow,00945998,202414462,1,2024-06-19,,2024-07-26,37,329999,,1
https://www.viewpoint.ca/cutsheet/202604955/1/216-Brookside-Avenue-New-Glasgow,00945998,202104662,1,2021-03-10,2021-03-23,2021-03-24,13,175000,185000,2
https://www.viewpoint.ca/cutsheet/202603523/1/204-Cameron-Avenue-New-Glasgow,00953083,202603523,1,2026-02-27,,2026-03-10,40,259000,,5
https://www.viewpoint.ca/cutsheet/202603523/1/204-Cameron-Avenue-New-Glasgow,00953083,202520984,1,2025-08-19,,2026-02-20,185,279000,,1
